Component,Origin,License
core,"github.com/frapposelli/wwhrd",MIT
core,"github.com/codahale/hdrhistogram",MIT
core,"github.com/cpuguy83/go-md2man/md2man",MIT
core,"github.com/fsnotify/fsnotify",NewBSD
core,"github.com/gogo/protobuf/proto",NewBSD
core,"github.com/gogo/protobuf/sortkeys",NewBSD
core,"github.com/golang/glog",Apache-2.0
core,"github.com/google/gofuzz",Apache-2.0
core,"github.com/hashicorp/hcl",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/ast",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/parser",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/printer",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/scanner",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/strconv",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/token",MPL-2.0
core,"github.com/hashicorp/hcl/json/parser",MPL-2.0
core,"github.com/hashicorp/hcl/json/scanner",MPL-2.0
core,"github.com/hashicorp/hcl/json/token",MPL-2.0
core,"github.com/hpcloud/tail",MIT
core,"github.com/hpcloud/tail/ratelimiter",MIT
core,"github.com/hpcloud/tail/util",MIT
core,"github.com/hpcloud/tail/watch",MIT
core,"github.com/hpcloud/tail/winfile",MIT
core,"github.com/inconshreveable/mousetrap",Apache-2.0
core,"github.com/magiconair/properties",FreeBSD
core,"github.com/mitchellh/mapstructure",MIT
core,"github.com/opentracing/opentracing-go",MIT
core,"github.com/opentracing/opentracing-go/ext",MIT
core,"github.com/opentracing/opentracing-go/log",MIT
core,"github.com/pelletier/go-toml",MIT
core,"github.com/philhofer/fwd",MIT
core,"github.com/pkg/errors",FreeBSD
core,"github.com/russross/blackfriday",FreeBSD
core,"github.com/spf13/afero",Apache-2.0
core,"github.com/spf13/afero/mem",Apache-2.0
core,"github.com/spf13/cast",MIT
core,"github.com/spf13/cobra",Apache-2.0
core,"github.com/spf13/cobra/doc",Apache-2.0
core,"github.com/spf13/jwalterweatherman",MIT
core,"github.com/spf13/pflag",NewBSD
core,"github.com/spf13/viper",MIT
core,"github.com/tinylib/msgp/msgp",MIT
core,"github.com/uber/jaeger-client-go",Apache-2.0
core,"github.com/uber/jaeger-client-go/config",Apache-2.0
core,"github.com/uber/jaeger-client-go/internal/baggage",Apache-2.0
core,"github.com/uber/jaeger-client-go/internal/baggage/remote",Apache-2.0
core,"github.com/uber/jaeger-client-go/internal/spanlog",Apache-2.0
core,"github.com/uber/jaeger-client-go/internal/throttler",Apache-2.0
core,"github.com/uber/jaeger-client-go/internal/throttler/remote",Apache-2.0
core,"github.com/uber/jaeger-client-go/log",Apache-2.0
core,"github.com/uber/jaeger-client-go/rpcmetrics",Apache-2.0
core,"github.com/uber/jaeger-client-go/thrift",Apache-2.0
